wwtp,target,load_per_case
ARA Altenrhein,IAV-M,2630450905.795583
ARA Altenrhein,IBV-M,48825997530.22234
ARA Altenrhein,RSV-N,7849569190.80007
ARA Altenrhein,SARS-N1,71326018482.96646
ARA Altenrhein,SARS-N2,123195499797.53809
ARA Basel/Prorheno,IAV-M,6062464882.505072
ARA Basel/Prorheno,IBV-M,42287988622.84807
ARA Basel/Prorheno,RSV-N,12242322762.955101
ARA Basel/Prorheno,SARS-N1,38543939966.34169
ARA Basel/Prorheno,SARS-N2,63872699184.34395
ARA Buholz,IAV-M,2470647980.688915
ARA Buholz,IBV-M,46074868457.267136
ARA Buholz,RSV-N,16818193299.804985
ARA Buholz,SARS-N1,94845633340.02333
ARA Buholz,SARS-N2,132934894532.88507
ARA Chur,IAV-M,3218925782.326306
ARA Chur,IBV-M,31812847654.544033
ARA Chur,RSV-N,7227851387.617458
ARA Chur,SARS-N1,62830651104.81104
ARA Chur,SARS-N2,129528870675.44804
ARA Region Bern,IAV-M,2120854888.7529259
ARA Region Bern,IBV-M,39835588283.473564
ARA Region Bern,RSV-N,8773076483.465889
ARA Region Bern,SARS-N1,60773485672.32494
ARA Region Bern,SARS-N2,96996004857.6381
ARA Schwyz,IAV-M,6420954121.215874
ARA Schwyz,IBV-M,108279273040.48524
ARA Schwyz,RSV-N,11450239784.153772
ARA Schwyz,SARS-N1,89536730595.13881
ARA Schwyz,SARS-N2,150943365122.77283
ARA Sensetal,IAV-M,2433553389.685915
ARA Sensetal,IBV-M,27694693909.6262
ARA Sensetal,RSV-N,4802360515.348917
ARA Sensetal,SARS-N1,42375975287.83623
ARA Sensetal,SARS-N2,80318731454.75836
ARA Werdhoelzli,IAV-M,6593065798.00521
ARA Werdhoelzli,IBV-M,60687033206.342155
ARA Werdhoelzli,RSV-N,25370160598.473526
ARA Werdhoelzli,SARS-N1,109844773059.54057
ARA Werdhoelzli,SARS-N2,197976656118.55032
ARA Zuchwil,IAV-M,2071076381.6659253
ARA Zuchwil,IBV-M,49069116590.01231
ARA Zuchwil,RSV-N,13641120890.557472
ARA Zuchwil,SARS-N1,65677742878.175735
ARA Zuchwil,SARS-N2,98368789418.02132
CDA Lugano,IAV-M,7529165633.583523
CDA Lugano,IBV-M,61062450992.483376
CDA Lugano,RSV-N,15089545176.342812
CDA Lugano,SARS-N1,137141903657.03395
CDA Lugano,SARS-N2,202520410147.44064
STEP Aire,IAV-M,3108581262.0431247
STEP Aire,IBV-M,63303997320.18908
STEP Aire,RSV-N,51906738257.08298
STEP Aire,SARS-N1,77397866596.55505
STEP Aire,SARS-N2,108484821179.57455
STEP Neuchatel,IAV-M,3999848208.8328953
STEP Neuchatel,IBV-M,19373065793.079998
STEP Neuchatel,RSV-N,14912157648.275871
STEP Neuchatel,SARS-N1,86532719515.28273
STEP Neuchatel,SARS-N2,127505391274.73296
STEP Porrentruy,IAV-M,5499848513.0506325
STEP Porrentruy,IBV-M,125042920645.6105
STEP Porrentruy,RSV-N,6513426297.741577
STEP Porrentruy,SARS-N1,41717698375.14424
STEP Porrentruy,SARS-N2,62600973856.96833
STEP Vidy,IAV-M,4254326832.9355307
STEP Vidy,IBV-M,31918360602.22781
STEP Vidy,RSV-N,19933225155.096695
STEP Vidy,SARS-N1,119083540307.06769
STEP Vidy,SARS-N2,164652056304.90375
