"wwtp","target","h_week","coverage"
"Zurich","SARS-CoV-2",2,0.995104039167687
"Zurich","SARS-CoV-2",1,0.931122448979592
"Zurich","SARS-CoV-2",0,0.898531375166889
"Zurich","SARS-CoV-2",-1,0.917712691771269
"Zurich","SARS-CoV-2",-2,0.947521865889213
"Zurich","SARS-CoV-2",3,1
"Zurich","SARS-CoV-2",4,1
"Zurich","SARS-CoV-2",5,1
"Zurich","SARS-CoV-2",6,1
"Zurich","SARS-CoV-2",7,1
"Zurich","SARS-CoV-2",8,1
"Zurich","SARS-CoV-2",9,1
"Zurich","IAV",-2,0.881593110871905
"Zurich","IAV",-1,0.887368421052632
"Zurich","IAV",0,0.928939237899073
"Zurich","IAV",1,0.996941896024465
"Zurich","IAV",2,1
"Zurich","IAV",3,1
"Zurich","IAV",4,1
"Zurich","IAV",5,1
"Zurich","IAV",6,1
"Zurich","IAV",7,1
"Zurich","IAV",8,1
"Zurich","IAV",9,1
"Zurich","RSV",-1,0.901749663526245
"Zurich","RSV",-2,0.876577840112202
"Zurich","RSV",0,0.926701570680628
"Zurich","RSV",1,0.954140127388535
"Zurich","RSV",3,1
"Zurich","RSV",2,0.991228070175439
"Zurich","RSV",4,1
"Zurich","RSV",5,1
"Zurich","RSV",6,1
"Zurich","RSV",7,1
"Zurich","RSV",8,1
"Zurich","RSV",9,1
"Lugano","SARS-CoV-2",5,1
"Lugano","SARS-CoV-2",4,1
"Lugano","SARS-CoV-2",3,1
"Lugano","SARS-CoV-2",2,1
"Lugano","SARS-CoV-2",1,0.980357142857143
"Lugano","SARS-CoV-2",0,0.979047619047619
"Lugano","SARS-CoV-2",-1,1
"Lugano","SARS-CoV-2",-2,1
"Lugano","SARS-CoV-2",6,1
"Lugano","SARS-CoV-2",7,1
"Lugano","SARS-CoV-2",8,1
"Lugano","SARS-CoV-2",9,1
"Lugano","IAV",0,0.905511811023622
"Lugano","IAV",-1,0.832520325203252
"Lugano","IAV",-2,0.867241379310345
"Lugano","IAV",1,0.972668810289389
"Lugano","IAV",2,1
"Lugano","IAV",3,1
"Lugano","IAV",4,1
"Lugano","IAV",5,1
"Lugano","IAV",6,1
"Lugano","IAV",7,1
"Lugano","IAV",8,1
"Lugano","IAV",9,1
"Lugano","RSV",0,0.96608040201005
"Lugano","RSV",-1,0.954068241469816
"Lugano","RSV",-2,0.960164835164835
"Lugano","RSV",1,0.975031210986267
"Lugano","RSV",2,0.993718592964824
"Lugano","RSV",3,1
"Lugano","RSV",4,1
"Lugano","RSV",5,1
"Lugano","RSV",6,1
"Lugano","RSV",7,1
"Lugano","RSV",8,1
"Lugano","RSV",9,1
"Chur","SARS-CoV-2",0,1
"Chur","SARS-CoV-2",-1,1
"Chur","SARS-CoV-2",-2,1
"Chur","SARS-CoV-2",1,0.974842767295597
"Chur","SARS-CoV-2",2,0.991329479768786
"Chur","SARS-CoV-2",3,1
"Chur","SARS-CoV-2",4,1
"Chur","SARS-CoV-2",5,1
"Chur","SARS-CoV-2",6,1
"Chur","SARS-CoV-2",7,1
"Chur","SARS-CoV-2",8,1
"Chur","SARS-CoV-2",9,1
"Chur","IAV",-1,0.869488536155203
"Chur","IAV",-2,0.829313543599258
"Chur","IAV",0,0.917543859649123
"Chur","IAV",1,0.969479353680431
"Chur","IAV",2,1
"Chur","IAV",3,1
"Chur","IAV",4,1
"Chur","IAV",5,1
"Chur","IAV",6,1
"Chur","IAV",7,1
"Chur","IAV",8,1
"Chur","IAV",9,1
"Chur","RSV",0,0.935779816513762
"Chur","RSV",-1,0.88394584139265
"Chur","RSV",-2,0.881742738589212
"Chur","RSV",1,0.985585585585586
"Chur","RSV",2,1
"Chur","RSV",3,1
"Chur","RSV",4,1
"Chur","RSV",5,1
"Chur","RSV",6,1
"Chur","RSV",8,1
"Chur","RSV",7,1
"Chur","RSV",9,1
