"wwtp","target","h_week","MAE"
"Zurich","SARS-CoV-2",2,0.0203932862065149
"Zurich","SARS-CoV-2",1,0.0481739318335536
"Zurich","SARS-CoV-2",0,0.0803439361459809
"Zurich","SARS-CoV-2",-1,0.102050667474092
"Zurich","SARS-CoV-2",-2,0.110051120192567
"Zurich","SARS-CoV-2",3,0.0106249131279631
"Zurich","SARS-CoV-2",4,0.0103978972309106
"Zurich","SARS-CoV-2",5,0.00742235754611952
"Zurich","SARS-CoV-2",6,0.00642718958576439
"Zurich","SARS-CoV-2",7,0.00645037701718647
"Zurich","SARS-CoV-2",8,0.00606154976892693
"Zurich","SARS-CoV-2",9,0.00583152459016395
"Zurich","IAV",-2,0.12894880314556
"Zurich","IAV",-1,0.100044771151867
"Zurich","IAV",0,0.0620739011312689
"Zurich","IAV",1,0.0290706273931626
"Zurich","IAV",2,0.0136218971318043
"Zurich","IAV",3,0.00834029034657658
"Zurich","IAV",4,0.00507528624540949
"Zurich","IAV",5,0.00365219529359522
"Zurich","IAV",6,0.00327692452244421
"Zurich","IAV",7,0.00261230604501232
"Zurich","IAV",8,0.00222913704745338
"Zurich","IAV",9,0.00221552916666666
"Zurich","RSV",-1,0.144934376605165
"Zurich","RSV",-2,0.175487202193976
"Zurich","RSV",0,0.110105149462184
"Zurich","RSV",1,0.0711576813286275
"Zurich","RSV",3,0.0232263829702242
"Zurich","RSV",2,0.0393945908900497
"Zurich","RSV",4,0.0149213681353897
"Zurich","RSV",5,0.00986731618349208
"Zurich","RSV",6,0.00624221712922457
"Zurich","RSV",7,0.00457737614198221
"Zurich","RSV",8,0.00410554586520214
"Zurich","RSV",9,0.00377718584070797
"Lugano","SARS-CoV-2",5,0.0100643555887725
"Lugano","SARS-CoV-2",4,0.0116025866102209
"Lugano","SARS-CoV-2",3,0.016265348568956
"Lugano","SARS-CoV-2",2,0.0326848007173522
"Lugano","SARS-CoV-2",1,0.0569710720245614
"Lugano","SARS-CoV-2",0,0.0801750530013272
"Lugano","SARS-CoV-2",-1,0.0899543546097241
"Lugano","SARS-CoV-2",-2,0.0854931860018091
"Lugano","SARS-CoV-2",6,0.00797096838432733
"Lugano","SARS-CoV-2",7,0.00652112633875354
"Lugano","SARS-CoV-2",8,0.00563384346948621
"Lugano","SARS-CoV-2",9,0.005524989010989
"Lugano","IAV",0,0.0937318186202686
"Lugano","IAV",-1,0.143558894884095
"Lugano","IAV",-2,0.168697338468625
"Lugano","IAV",1,0.0441074113115505
"Lugano","IAV",2,0.0248685600102145
"Lugano","IAV",3,0.0199117553990953
"Lugano","IAV",4,0.0127327890887203
"Lugano","IAV",5,0.00954526557242666
"Lugano","IAV",6,0.00721832487121509
"Lugano","IAV",7,0.00653077925940452
"Lugano","IAV",8,0.00589530242946201
"Lugano","IAV",9,0.00520676966292136
"Lugano","RSV",0,0.0906546370508744
"Lugano","RSV",-1,0.110121883140432
"Lugano","RSV",-2,0.129451372497638
"Lugano","RSV",1,0.0728100026261305
"Lugano","RSV",2,0.0500603046009599
"Lugano","RSV",3,0.0321793274284282
"Lugano","RSV",4,0.0218010543101976
"Lugano","RSV",5,0.0157263557841135
"Lugano","RSV",6,0.012542531924869
"Lugano","RSV",7,0.00958493224018308
"Lugano","RSV",8,0.00773755810102547
"Lugano","RSV",9,0.00671149456521739
"Chur","SARS-CoV-2",0,0.092993419910283
"Chur","SARS-CoV-2",-1,0.111555459455012
"Chur","SARS-CoV-2",-2,0.116768602122156
"Chur","SARS-CoV-2",1,0.069064850119338
"Chur","SARS-CoV-2",2,0.040868915622106
"Chur","SARS-CoV-2",3,0.0182672860629252
"Chur","SARS-CoV-2",4,0.0105888710364872
"Chur","SARS-CoV-2",5,0.00961397160259454
"Chur","SARS-CoV-2",6,0.00923377478478631
"Chur","SARS-CoV-2",7,0.0067692893230463
"Chur","SARS-CoV-2",8,0.00494557739500016
"Chur","SARS-CoV-2",9,0.00441077027027027
"Chur","IAV",-1,0.13536065719367
"Chur","IAV",-2,0.167493419623701
"Chur","IAV",0,0.0966057054888803
"Chur","IAV",1,0.0572335346189695
"Chur","IAV",2,0.0323428553119349
"Chur","IAV",3,0.0214197621933973
"Chur","IAV",4,0.0162761521058817
"Chur","IAV",5,0.0101585165142901
"Chur","IAV",6,0.00767204749204049
"Chur","IAV",7,0.00648074727309208
"Chur","IAV",8,0.00491027222564078
"Chur","IAV",9,0.00471968604651164
"Chur","RSV",0,0.118346865790328
"Chur","RSV",-1,0.14538797770773
"Chur","RSV",-2,0.167478421011902
"Chur","RSV",1,0.0912889084538879
"Chur","RSV",2,0.0643274270343581
"Chur","RSV",3,0.0416857644260501
"Chur","RSV",4,0.0272916491841492
"Chur","RSV",5,0.0188373765901067
"Chur","RSV",6,0.0135927305499097
"Chur","RSV",8,0.00946670500571372
"Chur","RSV",7,0.0114334322032521
"Chur","RSV",9,0.00814848765432099
