"wwtp","target","infection_trend_type","bias","nudge_y"
"Zurich","SARS-CoV-2","increasing",-0.0385614035087719,0.375
"Zurich","SARS-CoV-2","decreasing",0.0376993464052287,0.225
"Zurich","IAV","increasing",-0.0421944444444444,0.075
"Zurich","IAV","decreasing",0.0781694915254237,-0.075
"Zurich","RSV","increasing",-0.0433733333333333,-0.225
"Zurich","RSV","decreasing",0.133988888888889,-0.375
"Lugano","SARS-CoV-2","increasing",-0.0265509259259259,0.375
"Lugano","SARS-CoV-2","decreasing",0.0902551834130781,0.225
"Lugano","IAV","increasing",-0.125545454545455,0.075
"Lugano","IAV","decreasing",-0.00161360439841454,-0.075
"Lugano","RSV","increasing",-0.246140049140049,-0.225
"Lugano","RSV","decreasing",0.0943020088525706,-0.375
"Chur","SARS-CoV-2","increasing",-0.217206456456456,0.375
"Chur","SARS-CoV-2","decreasing",0.164927056277056,0.225
"Chur","IAV","increasing",-0.0612329512051734,0.075
"Chur","IAV","decreasing",0.113004566210046,-0.075
"Chur","RSV","increasing",-0.100054334554335,-0.225
"Chur","RSV","decreasing",0.1348,-0.375
