"wwtp","target","quantile_level","interval_range","interval_coverage","interval_coverage_deviation","quantile_coverage","quantile_coverage_deviation"
"Zurich","SARS-CoV-2",0.5,0,0,0,0.488163265306122,-0.0118367346938776
"Zurich","SARS-CoV-2",0.45,10,0.0914285714285714,-0.00857142857142841,0.450612244897959,0.000612244897959171
"Zurich","SARS-CoV-2",0.55,10,0.0914285714285714,-0.00857142857142841,0.542040816326531,-0.0079591836734693
"Zurich","SARS-CoV-2",0.4,20,0.176326530612245,-0.0236734693877548,0.409795918367347,0.00979591836734733
"Zurich","SARS-CoV-2",0.6,20,0.176326530612245,-0.0236734693877548,0.586122448979592,-0.0138775510204089
"Zurich","SARS-CoV-2",0.35,30,0.275102040816327,-0.024897959183674,0.358367346938776,0.00836734693877469
"Zurich","SARS-CoV-2",0.65,30,0.275102040816327,-0.024897959183674,0.633469387755102,-0.0165306122448973
"Zurich","SARS-CoV-2",0.3,40,0.37469387755102,-0.0253061224489786,0.308571428571429,0.00857142857142917
"Zurich","SARS-CoV-2",0.7,40,0.37469387755102,-0.0253061224489786,0.683265306122449,-0.0167346938775513
"Zurich","SARS-CoV-2",0.25,50,0.497959183673469,-0.00204081632653061,0.245714285714286,-0.00428571428571429
"Zurich","SARS-CoV-2",0.75,50,0.497959183673469,-0.00204081632653061,0.743673469387755,-0.0063265306122449
"Zurich","SARS-CoV-2",0.2,60,0.610612244897959,0.0106122448979582,0.199183673469388,-0.000816326530613199
"Zurich","SARS-CoV-2",0.8,60,0.610612244897959,0.0106122448979582,0.809795918367347,0.0097959183673467
"Zurich","SARS-CoV-2",0.15,70,0.711020408163265,0.0110204081632642,0.153469387755102,0.00346938775510282
"Zurich","SARS-CoV-2",0.85,70,0.711020408163265,0.0110204081632642,0.864489795918367,0.0144897959183671
"Zurich","SARS-CoV-2",0.1,80,0.81469387755102,0.0146938775510221,0.110204081632653,0.0102040816326525
"Zurich","SARS-CoV-2",0.9,80,0.81469387755102,0.0146938775510221,0.924897959183673,0.0248979591836742
"Zurich","SARS-CoV-2",0.05,90,0.888979591836735,-0.0110204081632648,0.0775510204081633,0.0275510204081629
